Statements
 INSERT INTO departments VALUES ( 10 , 'Administration' , 200 , 1700 );
 INSERT INTO departments VALUES ( 20 , 'Marketing' , 201 , 1800 );
 INSERT INTO departments VALUES ( 30 , 'Purchasing' , 114 , 1700 );
 INSERT INTO departments VALUES ( 40 , 'Human Resources' , 203 , 2400 );
 INSERT INTO departments VALUES ( 50 , 'Shipping' , 121 , 1500 );
 INSERT INTO departments VALUES ( 60 , 'IT' , 103 , 1400 );
 INSERT INTO departments VALUES ( 70 , 'Public Relations' , 204 , 2700 );
 INSERT INTO departments VALUES ( 80 , 'Sales' , 145 , 2500 );
 INSERT INTO departments VALUES ( 90 , 'Executive' , 100 , 1700 );
 INSERT INTO departments VALUES ( 100 , 'Finance' , 108 , 1700 );
 INSERT INTO departments VALUES ( 110 , 'Accounting' , 205 , 1700 );
 INSERT INTO departments VALUES ( 120 , 'Treasury' , NULL , 1700 );
 INSERT INTO departments VALUES ( 130 , 'Corporate Tax' , NULL , 1700 );
 INSERT INTO departments VALUES ( 140 , 'Control And Credit' , NULL , 1700 );
 INSERT INTO departments VALUES ( 150 , 'Shareholder Services' , NULL , 1700 );
 INSERT INTO departments VALUES ( 160 , 'Benefits' , NULL , 1700 );
 INSERT INTO departments VALUES ( 170 , 'Manufacturing' , NULL , 1700 );
 INSERT INTO departments VALUES ( 180 , 'Construction' , NULL , 1700 );
 INSERT INTO departments VALUES ( 190 , 'Contracting' , NULL , 1700 );
 INSERT INTO departments VALUES ( 200 , 'Operations' , NULL , 1700 );
 INSERT INTO departments VALUES ( 210 , 'IT Support' , NULL , 1700 );
 INSERT INTO departments VALUES ( 220 , 'NOC' , NULL , 1700 );
 INSERT INTO departments VALUES ( 230 , 'IT Helpdesk' , NULL , 1700 );
 INSERT INTO departments VALUES ( 240 , 'Government Sales' , NULL , 1700 );
 INSERT INTO departments VALUES ( 250 , 'Retail Sales' , NULL , 1700 );
 INSERT INTO departments VALUES ( 260 , 'Recruiting' , NULL , 1700 );
 INSERT INTO departments VALUES ( 270 , 'Payroll' , NULL , 1700 );
 INSERT INTO employees VALUES ( 100 , 'Steven' , 'King' , 'SKING' , '515.123.4567' , STR_TO_DATE('17-JUN-1987', '%d-%M-%Y') , 'AD_PRES' , 24000 , NULL , NULL , 90 );
 INSERT INTO employees VALUES ( 101 , 'Neena' , 'Kochhar' , 'NKOCHHAR' , '515.123.4568' , STR_TO_DATE('21-SEP-1989', '%d-%M-%Y') , 'AD_VP' , 17000 , NULL , 100 , 90 );
 INSERT INTO employees VALUES ( 102 , 'Lex' , 'De Haan' , 'LDEHAAN' , '515.123.4569' , STR_TO_DATE('13-JAN-1993', '%d-%M-%Y') , 'AD_VP' , 17000 , NULL , 100 , 90 );
 INSERT INTO employees VALUES ( 103 , 'Alexander' , 'Hunold' , 'AHUNOLD' , '590.423.4567' , STR_TO_DATE('03-JAN-1990', '%d-%M-%Y') , 'IT_PROG' , 9000 , NULL , 102 , 60 );
 INSERT INTO employees VALUES ( 104 , 'Bruce' , 'Ernst' , 'BERNST' , '590.423.4568' , STR_TO_DATE('21-MAY-1991', '%d-%M-%Y') , 'IT_PROG' , 6000 , NULL , 103 , 60 );
 INSERT INTO employees VALUES ( 105 , 'David' , 'Austin' , 'DAUSTIN' , '590.423.4569' , STR_TO_DATE('25-JUN-1997', '%d-%M-%Y') , 'IT_PROG' , 4800 , NULL , 103 , 60 );
 INSERT INTO employees VALUES ( 106 , 'Valli' , 'Pataballa' , 'VPATABAL' , '590.423.4560' , STR_TO_DATE('05-FEB-1998', '%d-%M-%Y') , 'IT_PROG' , 4800 , NULL , 103 , 60 );
 INSERT INTO employees VALUES ( 107 , 'Diana' , 'Lorentz' , 'DLORENTZ' , '590.423.5567' , STR_TO_DATE('07-FEB-1999', '%d-%M-%Y') , 'IT_PROG' , 4200 , NULL , 103 , 60 );
 INSERT INTO employees VALUES ( 108 , 'Nancy' , 'Greenberg' , 'NGREENBE' , '515.124.4569' , STR_TO_DATE('17-AUG-1994', '%d-%M-%Y') , 'FI_MGR' , 12000 , NULL , 101 , 100 );
 INSERT INTO employees VALUES ( 109 , 'Daniel' , 'Faviet' , 'DFAVIET' , '515.124.4169' , STR_TO_DATE('16-AUG-1994', '%d-%M-%Y') , 'FI_ACCOUNT' , 9000 , NULL , 108 , 100 );
 INSERT INTO employees VALUES ( 110 , 'John' , 'Chen' , 'JCHEN' , '515.124.4269' , STR_TO_DATE('28-SEP-1997', '%d-%M-%Y') , 'FI_ACCOUNT' , 8200 , NULL , 108 , 100 );
